Vehicle Type,Fuel Type,Distance(Km),Cargo_Wt.,Engine Size,Age of Vehicle,Mileage,Speed,Acceleration,Road Type,Traffic Conditions,Temperature,Humidity,Wind Speed,Air Pressure,CO2 Emissions,NOx Emissions,PM2.5 Emissions,VOC Emissions,SO2 Emissions,Emission Level
Truck,Petrol,954,1031,2.664021788,25,24718,60.34505732,3.640407064,Highway,Moderate,28.27778605,85.11284243,11.2948294,987.0548334,151.1633233,0.793538274,0.184740845,0.026839425,0.053915815,Medium
Truck,Diesel,732,970,1.40251911,7,187274,116.0911718,4.734186931,Rural,Moderate,31.77178234,73.30324753,10.68497543,982.4674273,106.6350223,0.899981212,0.114678657,0.056187527,0.018684206,Low
Car,Diesel,280,567,5.288137815,10,156287,10.67069507,2.497638924,City,Moderate,15.85068986,12.41955761,1.240368463,1026.917542,197.2788788,1.517624801,0.039812505,0.060603423,0.080910008,Medium
Truck,Diesel,443,1268,4.04115026,26,280602,57.30679195,1.688549565,Highway,Heavy,16.33599373,61.75383333,13.48551477,953.5724075,347.4782413,0.9762739,0.113887759,0.07417458,0.057892462,High
Bus,Petrol,733,651,2.520669729,13,130293,7.488278433,3.233252524,Highway,Moderate,4.925279492,97.81707304,10.25802639,978.1931093,222.1294268,1.455787534,0.15543991,0.028820094,0.029961607,Medium
Car,Diesel,404,969,1.130503421,7,147078,75.62523149,4.581306075,Highway,Moderate,32.1376526,21.41158909,7.628342336,1041.829431,249.7107807,1.928213296,0.121449637,0.045464751,0.096085024,Medium
Bus,Petrol,141,814,2.417108073,28,225152,9.444840164,0.883848253,Rural,Heavy,31.48847915,61.97139311,1.320336321,980.0350649,194.2968491,1.928797758,0.120983398,0.035846298,0.037187022,Medium
Car,Petrol,609,741,2.490953275,2,76820,21.0441363,2.01847105,Highway,Moderate,9.608567286,56.36143141,5.8602797,965.1899476,497.5123167,0.949312286,0.015271911,0.085104534,0.044372962,High
Motorcycle,Hybrid,882,1070,4.593952127,6,225751,31.05963721,0.781451405,City,Heavy,6.463353524,39.16460458,17.68190752,1025.73454,313.7889702,0.545020926,0.09803369,0.042382309,0.046126544,High
Bus,Diesel,89,1934,4.115298851,27,81234,89.8492622,2.483271161,Rural,Moderate,26.91866356,95.46353837,3.474227466,954.7844191,425.2470862,0.577342087,0.079460351,0.033500905,0.046128182,High
Car,Electric,782,773,5.413506261,18,129282,19.67545426,2.702110065,Highway,Free flow,-8.691593083,35.64003856,4.386672795,992.631985,248.5980536,1.656521743,0.018319738,0.065514308,0.067845046,Medium
Bus,Diesel,288,842,3.255517611,3,271246,101.5958464,4.721018074,Highway,Moderate,32.99744493,9.368044269,4.105880621,1035.535776,125.8867983,0.251468218,0.139422557,0.019676133,0.035549518,Low
Motorcycle,Hybrid,749,1627,1.421890079,24,234501,15.82847266,2.062575769,City,Free flow,12.31239947,96.25429838,17.81609639,1045.409481,431.0634422,0.17678678,0.044792866,0.086406294,0.091305181,High
Motorcycle,Electric,594,1897,4.508872894,15,126328,4.229333888,2.834783068,City,Free flow,12.06721233,72.92202068,13.99990965,974.9019757,393.5455341,1.394692338,0.076484446,0.035113241,0.061552555,High
Truck,Electric,615,1445,4.756082253,12,84079,47.40545028,4.42631287,City,Heavy,23.45389237,34.24498756,17.63686126,979.6202234,198.4140398,1.82921534,0.119742699,0.084161108,0.089191332,Medium
Bus,Diesel,528,350,3.718641427,19,94437,117.532997,1.607025001,Rural,Moderate,22.28746802,28.05116251,18.27493,1006.72511,322.8879204,0.538525924,0.093654219,0.099223933,0.09256449,High
Motorcycle,Petrol,188,1460,4.809029336,18,79570,13.24106733,3.370819345,Rural,Free flow,3.298703303,92.80266646,18.5593507,972.6551558,92.06064211,0.203693786,0.143336246,0.011919265,0.079183585,Low
Car,Diesel,189,1003,3.367737101,4,92656,12.20621328,3.785809244,City,Free flow,37.16393023,27.3549976,9.714312257,965.0744067,61.84508553,1.801046401,0.170504936,0.027277496,0.031929167,Low
Motorcycle,Petrol,779,1329,3.518210713,22,197937,90.1399813,1.652641173,City,Heavy,39.31649897,53.71576727,9.524477021,992.5981511,417.0916439,0.772904097,0.042156747,0.077207944,0.039676881,High
Bus,Hybrid,792,1143,3.023213295,4,172492,37.45940328,0.821705928,City,Free flow,16.29945071,21.49550712,16.57845681,957.224808,473.8675731,1.144469607,0.062932886,0.017454641,0.030628406,High
Motorcycle,Electric,659,204,0.932179459,19,156454,86.07379407,2.51454771,City,Free flow,18.06903991,99.52146139,6.638533483,1039.421997,204.8268574,1.688870121,0.045305275,0.05018089,0.051118299,Medium
Truck,Electric,400,631,1.36103542,23,38795,24.00127073,1.784008651,City,Heavy,17.71589817,76.95085863,0.44422259,983.4196622,318.9079161,0.575006182,0.104846998,0.023550138,0.055989878,High
Motorcycle,Electric,371,1066,0.963431766,3,51425,55.2086393,1.332312159,Rural,Heavy,14.28937041,56.76349402,6.63095434,983.6284125,372.7811011,1.242321086,0.02505867,0.052277825,0.040472342,High
Truck,Hybrid,861,1329,4.109334139,1,57402,31.83478533,4.867106553,Rural,Heavy,37.25935268,74.58264492,14.32700661,1029.137311,385.7191437,1.983868572,0.150841368,0.011130919,0.088517728,High
Truck,Petrol,190,1722,2.434651102,25,207275,54.18338579,2.510765094,City,Heavy,2.237622449,91.63679666,2.472281032,984.1548357,266.4820552,1.508488225,0.034308856,0.023548857,0.045599613,Medium
Bus,Hybrid,657,1231,3.444567594,12,238723,92.29165111,4.282388469,Highway,Heavy,-4.602091187,96.31241944,15.69561716,1026.090686,325.977004,0.854947163,0.189886198,0.034745944,0.073383486,High
Motorcycle,Petrol,317,988,5.519345664,29,203567,91.44119286,0.976587053,City,Heavy,36.47736422,78.60188844,16.30948635,968.1242014,345.6737278,1.559234902,0.169670377,0.027809906,0.085048243,High
Truck,Petrol,228,1061,2.096319592,15,95117,61.89267452,4.697213824,Rural,Free flow,0.651915711,84.90659683,2.018247321,1002.898834,96.46488482,0.141368268,0.194164837,0.042521529,0.024488002,Low
Car,Electric,605,359,2.9339912,21,261712,111.4046212,3.972157173,Highway,Free flow,27.45776768,39.77939246,1.956785729,1026.851147,340.2997754,0.50914586,0.017710376,0.023042957,0.074342279,High
Truck,Diesel,53,1465,4.72886592,1,209125,31.65409229,4.043460781,City,Moderate,0.193665462,39.18229952,3.976242931,994.9899103,279.8859542,1.514888967,0.048980311,0.083872054,0.024368813,Medium
Car,Diesel,541,855,1.989750461,18,187350,28.83736213,1.948824376,Highway,Free flow,38.00930078,80.82966527,7.127787865,957.1813264,220.3247882,0.598248379,0.192594479,0.056823334,0.078744999,Medium
Bus,Electric,866,717,1.200295531,16,30568,73.65676814,2.428184965,Highway,Heavy,29.55608852,75.96251389,10.65467137,1023.690235,167.7812897,0.339615871,0.197081755,0.03791457,0.061062342,Medium
Truck,Electric,522,1843,2.306707555,4,271056,74.55564411,2.966771629,Highway,Moderate,35.93590861,90.09817036,9.710839961,999.4056494,337.0637556,0.657277949,0.063333337,0.036567211,0.056280171,High
Bus,Petrol,630,1642,1.638350694,24,163599,5.584804748,3.948827681,Highway,Free flow,37.54924101,13.30096942,17.06336974,981.6416123,125.0415154,0.425536124,0.123763194,0.031957773,0.057713099,Low
Bus,Diesel,925,1839,5.634427792,17,230066,72.93332549,4.24528376,Highway,Heavy,-5.778780787,69.08131187,2.844639742,1049.279573,414.8758612,0.899227267,0.049424395,0.055471247,0.046136346,High
Car,Hybrid,93,1210,5.002225974,27,253007,44.93233888,0.390226547,City,Moderate,11.66944279,64.76482338,13.95145444,1037.607223,127.3088173,0.336627543,0.180011077,0.057809199,0.014467291,Low
Truck,Diesel,992,204,4.093699534,22,2355,89.69310304,4.520311938,Rural,Moderate,22.40501685,79.85198404,10.9777317,953.782255,397.2277835,1.691637395,0.036002815,0.099241576,0.059741064,High
Truck,Hybrid,505,884,5.331595069,20,96429,96.97267975,4.687483263,Highway,Free flow,30.12280521,2.455238491,14.73649646,1009.365403,417.8377237,1.581953403,0.140763779,0.066611308,0.012021796,High
Truck,Petrol,486,1060,4.9790948,17,185805,66.25845835,2.964437022,Highway,Moderate,2.073587221,82.62524457,6.838928537,985.4568731,472.8443558,0.683247377,0.065128151,0.057827514,0.092139916,High
Motorcycle,Electric,679,718,1.770164306,7,111151,0.20460378,0.933753066,Rural,Heavy,35.73024297,32.64266533,9.427592575,953.7405189,258.4809894,1.08786119,0.081021707,0.013446413,0.032415475,Medium
Bus,Electric,791,825,5.441306792,26,280232,76.36389722,4.092074164,Rural,Moderate,1.048816455,68.7122131,0.571859784,951.1297027,78.65917246,1.724566114,0.114109611,0.059502033,0.068402148,Low
Truck,Hybrid,781,667,3.604579658,14,175477,89.86575356,2.742938073,City,Heavy,33.30882008,61.65595716,2.322118182,1008.375778,354.9569097,1.865141918,0.091217518,0.054544458,0.060425866,High
Bus,Hybrid,322,1517,4.998688807,12,61788,29.87799195,4.085982269,City,Moderate,15.63562898,44.01983208,7.499912239,982.0130659,177.1801202,0.27306571,0.109448307,0.090696889,0.065506796,Medium
Bus,Diesel,404,1219,5.45967476,12,51529,55.75752014,4.074040633,City,Moderate,15.77110859,74.60275339,9.625094822,1020.331621,91.72695294,1.471839103,0.139132869,0.075029517,0.03918703,Low
Car,Electric,517,1103,2.45361807,15,112833,115.8871948,0.433646578,Rural,Heavy,8.700280774,96.12189304,1.714937861,995.4421286,435.094674,0.357372813,0.066284848,0.053162494,0.050451318,High
Bus,Petrol,282,683,1.372270008,21,103578,35.77386641,3.035107142,Highway,Heavy,-4.824738429,32.34749799,16.49976498,1026.649756,112.8818181,0.138064034,0.150374587,0.030529151,0.077411039,Low
Car,Petrol,506,870,1.985262845,19,183455,26.77839013,2.415721496,Rural,Moderate,7.354503156,74.84358832,18.92104725,1031.306523,277.8670573,0.249994605,0.089266037,0.074304269,0.045206721,Medium
Motorcycle,Diesel,150,1181,3.020960501,12,39177,25.30257486,4.73059735,Rural,Heavy,11.33683575,31.45370448,11.92794956,1015.723441,404.8302063,1.194172352,0.014141311,0.03582445,0.035634437,High
Truck,Hybrid,637,458,5.053676783,19,116903,67.05610012,1.48320646,City,Moderate,13.95105283,84.56531403,1.068038424,991.7972608,139.5922618,0.816520135,0.170862958,0.041763232,0.012798039,Low
Motorcycle,Diesel,85,764,5.275799033,1,39056,113.9744522,1.030000531,City,Moderate,26.95476452,43.72731659,14.77652448,1048.847725,453.4859486,0.325482578,0.063501583,0.072312933,0.052836853,High
Car,Petrol,343,502,0.836151079,2,66421,73.0428155,4.48543428,Highway,Free flow,7.603505523,44.92657341,4.343274246,980.6685381,199.2142762,1.001220793,0.173445296,0.038115708,0.07251211,Medium
Car,Electric,849,1235,3.455885973,14,164704,36.39877443,0.743577845,City,Moderate,10.32964302,77.18805811,14.67303384,1001.457933,228.3878595,1.065639112,0.151469417,0.036717435,0.035989737,Medium
Motorcycle,Diesel,856,1990,2.970537216,22,208294,76.62837337,3.432597294,City,Heavy,35.30493012,49.61696995,8.686920303,1002.04041,109.1720604,1.596050438,0.087274889,0.049796698,0.087912751,Low
Bus,Electric,698,1395,1.954960614,18,68590,74.98107571,1.500099069,Rural,Free flow,27.62836473,26.66446179,1.068533125,992.8338851,340.0069242,1.360957736,0.133554424,0.069712156,0.020425697,High
Truck,Electric,543,1626,1.42329991,12,271121,71.63101629,2.839228777,City,Moderate,-8.857211525,99.55369337,5.574978783,962.1415319,272.8922804,0.985336643,0.198470525,0.094765634,0.043599181,Medium
Car,Diesel,450,1682,2.555598891,4,283644,19.13114483,3.081097164,City,Moderate,30.60443789,62.02253929,8.540599202,985.3942092,488.3721886,0.716239062,0.068425046,0.023384175,0.076563508,High
